Candidate_SLEOP_ID,Candidate_SLEOP_UUID,CandidateFullname,CandidateFirstName,CandidateOtherNames,CandidateSurname,CandidatePoliticalPartyID,CandidatePoliticalParty,CandidatePoliticalPartyLongName,CandidatePoliticalPartyColor,CandidatePoliticalPartyLogo,SLEOP_ID,SLOEDP_UUID,ElectionDate,ElectionType,ResultType,ElectionRegion,ElectionDistrict,ElectionConstituency,ElectionWard,ElectionPollingCentre,ValidVotes,ValidVotesPercent,ElectionRound,ResultStatus,Winner
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1802,dd0379c8-27fe-48f6-b5a7-516f16a84ae6,2018,Presidential,"District Results",,Bo,,,,"202,453",83.70,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,2330,6273c8bb-be3d-473d-a378-538ecd73631b,2018,Presidential,"District Results",,"Western Urban",,,,"202,046",39.02,"Round 2","Certified Results",No
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1818,24b9aad9-15f4-4ec6-acbd-ce03d5bec40c,2018,Presidential,"District Results",,Kenema,,,,"195,402",83.81,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9253,f8154463-d4dc-48e2-97ff-4e5435820a6d,2012,Presidential,"District Results",,"Port Loko",,,,"182,761",90.24,"Round 1","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9479,6e762443-72dc-492d-b7ae-db90299b2999,2002,Presidential,"Regional Results",Northern,,,,,"179,634",32.78,"Round 1","Certified Results",No
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9172,110252cf-7581-4fb6-b0e7-021ac87ee9c2,2012,Presidential,"District Results",,Bombali,,,,"176,023",93.20,"Round 1","Certified Results",Yes
77,80f3c628-b2b6-4e9e-ab40-fbb3a5cd28e5,"Kandeh Kolleh Yumkella",Kandeh,Kolleh,Yumkella,22,NGC,"National Grand Coalition",4b0082,/sites/default/files/party-logos/ngc-party-logo.jpeg,352,c837480a-4f68-4b17-a8cf-680b5a7d2d5f,2018,Presidential,"National Results",,,,,,"174,014",6.86,"Round 1","Certified Results",No
49,91b27537-979d-426c-ba8a-c3abc330b9f4,"John Karefa-Smart",John,,Karefa-Smart,32,UNPP,"United National People's Party",cccc00,/sites/default/files/party-logos/unpp-party.jpg,50,fe7123ee-3f5b-4f0f-ade4-257947859b11,1996,Presidential,"National Results",,,,,,"171,603",22.90,"Round 1","Provisional Results",No
354,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Solomon Ekuma Dominic Berewa",Solomon,"Ekuma Dominic",Berewa,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9326,92a3ce80-c104-4b71-b4d3-61c45e25b5ac,2007,Presidential,"Regional Results",Southern,,,,,"171,345",45.52,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9163,026597bb-7c46-4cf8-ba52-93bf92ff81de,2012,Presidential,"District Results",,Bo,,,,"169,254",77.08,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1774,9c63b748-9702-476e-a719-7bc0b36ae10c,2018,Presidential,"District Results",,"Western Urban",,,,"168,902",33.09,"Round 1","Certified Results",No
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9496,0bf916ee-209c-4cf8-90b6-13541a97fb98,2002,Presidential,"Regional Results",Western,,,,,"166,194",54.86,"Round 1","Certified Results",Yes
